,,,,,,,,,,,,,,,,,,
UPDATA DATAMINI PC DI AREA TERMINAL CARGO,,,,,UPDATA DATAMINI PC DI AREA TERMINAL 1A,,,,,UPDATA DATAMINI PC DI AREA TERMINAL 2D,,,,,UPDATA DATAMINI PC DI AREA TERMINAL 3,,,
,,,,,,,,,,,,,,,,,,
CARGO,,,,,Terminal 1A,,,,,Terminal 2D,,,,,Terminal 3,,,
,,,,,,,,,,,,,,,,,,
MINI PC,MODEL ,TAHUN,JUMLAH ,,MINI PC,MODEL ,TAHUN,JUMLAH ,,MINI PC,MODEL ,Tahun,JUMLAH ,,MINI PC,MODEL ,Tahun,JUMLAH 
,Total Perangakat,,0,,,Total Perangakat,,49,,,Total Perangakat,,81,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
UPDATA DATAMINI PC DI AREA TOD,,,,,UPDATA DATAMINI PC DI AREA TERMINAL 1C,,,,,UPDATA DATAMINI PC DI AREA TERMINAL 2F,,,,,,,,
,,,,,,,,,,,,,,,,,,
TOD,,,,,Terminal 1C,,,,,Terminal 2F,,,,,,,,
,,,,,,,,,,,,,,,,,,
MINI PC,MODEL ,TAHUN,JUMLAH ,,MINI PC,MODEL ,TAHUN,JUMLAH ,,MINI PC,MODEL ,TAHUN,JUMLAH ,,,,,
ASUS,VC65,2017,,,ASUS,VC65,2017,0,,ASUS,VC65,2017,0,,,,,
,NUC14MNK-B2,2025,,,,NUC14MNK-B2,2025,106,,,NUC14MNK-B2,2025,42,,,,,
,E520,,,,,E520,,,,,E520,,0,,,,,
INTEL NUC,NUC7i3BNH,2018,,,INTEL NUC,NUC7i3BNH,2018,0,,INTEL NUC,NUC7i3BNH,2018,1,,,,,
,NUC5CPYH,2018,,,,NUC5CPYH,2018,0,,,NUC5CPYH,2018,0,,,,,
HP,Thin Client t630,2018,,,HP,Thin Client t630,2018,0,,HP,Thin Client t630,2018,7,,,,,
,Thin Client t640,2023,,,,Thin Client t640,2023,0,,,Thin Client t640,2023,8,,,,,
,Thin Client Elite t655,2025,,,,Thin Client Elite t655,2025,0,,,Thin Client Elite t655,2025,7,,,,,
CGEAR,D945GSEJT,2017,,,CGEAR,D945GSEJT,2017,0,,CGEAR,D945GSEJT,2017,3,,,,,
FUJITECH,Smart PC,2017,,,FUJITECH,Smart PC,2017,0,,FUJITECH,Smart PC,2017,6,,,,,
ZOTAC,Zotac,,,,ZOTAC,Zotac,,0,,ZOTAC,Zotac,,1,,,,,
MINIX,NEO Z64-W10,,,,MINIX,NEO Z64-W10,,0,,MINIX,NEO Z64-W10,,1,,,,,
GIGABYTE,GB-BSi3H-6100,2017,,,GIGABYTE,GB-BSi3H-6100,2017,0,,GIGABYTE,GB-BSi3H-6100,2017,0,,,,,
LENOVO,ThinkEdge SE10,2017,,,LENOVO,ThinkEdge SE10,2017,0,,LENOVO,ThinkEdge SE10,2017,3,,,,,
,Think Centre M53,,,,,Think Centre M53,,0,,,Think Centre M53,,0,,,,,
,Optiplex 3000 Thin Client Celeron,2024,,,,Optiplex 3000 Thin Client Celeron,2024,0,,,Optiplex 3000 Thin Client Celeron,2024,1,,,,,
,ThinkEdge 12NLS08R00,2024,,,,ThinkEdge 12NLS08R00,2024,0,,,ThinkEdge 12NLS08R00,2024,1,,,,,
CYCRONE,MPC X3700,2017,,,CYCRONE,MPC X3700,2017,0,,CYCRONE,MPC X3700,2017,0,,,,,
DELL,"wyse, N07D001",2017,,,DELL,"wyse, N07D001",2017,0,,DELL,"wyse, N07D001",2017,0,,,,,
,Total Perangakat,,0,,,Total Perangakat,,106,,,Total Perangakat,,81,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,UPDATA DATAMINI PC DI AREA TERMINAL 2F Lounge Umroh,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Terminal 2F,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,MINI PC,MODEL ,TAHUN,JUMLAH ,,,,,
,,,,,,,,,,ASUS,VC65,,0,,,,,
,,,,,,,,,,,NUC14MNK-B2,,60,,,,,
,,,,,,,,,,,E520,,0,,,,,
,,,,,,,,,,INTEL NUC,NUC7i3BNH,,0,,,,,
,,,,,,,,,,,NUC5CPYH,,0,,,,,
,,,,,,,,,,HP,Thin Client t630,,0,,,,,
,,,,,,,,,,,Thin Client t640,,0,,,,,
,,,,,,,,,,,Thin Client Elite t655,,1,,,,,
,,,,,,,,,,CGEAR,D945GSEJT,,0,,,,,
,,,,,,,,,,FUJITECH,Smart PC,,0,,,,,
,,,,,,,,,,ZOTAC,Zotac,,0,,,,,
,,,,,,,,,,MINIX,NEO Z64-W10,,0,,,,,
,,,,,,,,,,GIGABYTE,GB-BSi3H-6100,,0,,,,,
,,,,,,,,,,LENOVO,ThinkEdge SE10,2017,0,,,,,
,,,,,,,,,,,Think Centre M53,,0,,,,,
,,,,,,,,,,,Optiplex 3000 Thin Client Celeron,2024,0,,,,,
,,,,,,,,,,,ThinkEdge 12NLS08R00,2024,1,,,,,
,,,,,,,,,,CYCRONE,MPC X3700,,0,,,,,
,,,,,,,,,,DELL,"wyse, N07D001",2017,0,,,,,
,,,,,,,,,,,Total Perangakat,,62,,,,,
