---,LOKASI,TERMINAL,ZONA,IP Address,MINI PC,,,,,,,,,,,MONITOR,,,,,,,,,
,,,,,Buatan,Merk,Model,S/N,Support Port,Disk Capacity,Ram Capacity,OS,Tahun Pengadaan,Kondisi (%),Status Garansi,Buatan,Merk,Model,S/N,Support Port,Ukuran (Inch),Tahun Pengadaan,Kondisi (%),Status Garansi,
21,Checkin Island C Self Baggage Drop Kanan T3-INT,3U-INT,Checkin,172.17.150.14,China,HP,Thin Client t640,8CN2410FZ7,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,09-12-2025,Korea,LG,43SM5KD,806KCXMKE394,"3 HDMI, 1 DP, 1 DVI-D","43""",2017,Normal 70%,,
22,Checkin Island D Self Baggage Drop Kiri T3-DOM,3U-DOM,Checkin,172.17.148.84,China,HP,Thin Client Elite t655,8CN25202GL,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-02-2026,Korea,LG,43SM5KE,111INNGAV591,"3 HDMI, 1DP,1DVI-D","43""",2023,Normal 90%,,
23,Checkin Island D Self Baggage Drop Kanan T3-DOM,3U-DOM,Checkin,172.17.148.70,.,.,.,A01E0B02E4FB,"1 HDMI, 1 VGA, 1 LAN",60 GB,8 GB,Windows 10,2017,Normal 90%,,Korea,LG,43UH5F,101INWA00601,2 HDMI,"43""",2021,Normal 90%,,
24,Checkin Island E Self Baggage Drop Kiri T3-DOM,3U-DOM,Checkin,172.17.148.56,China,HP,Thin Client Elite t655,8CG40936GP,"VGA, DP",60 GB,8 GB,Windows 10,2022,Normal 90%,18-02-2026,Korea,LG,43SM5KE-B,111INHZ5G121,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
25,Checkin Island E Self Baggage Drop Kanan T3-DOM,3U-DOM,Checkin,172.17.148.42,China,HP,Thin Client t640,8CN2390F7Y,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,,Normal 90%,18-11-2025,Korea,LG,43SM5KE-B,111INHZ5G385,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
26,Checkin Island F Self Baggage Drop Kiri T3-DOM,3U-DOM,Checkin,172.17.148.28,China,HP,Thin Client Elite t655,8CG42730XG,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,42LS35A,106INVM77591,"5 HDMI, 1DP,1DVI-D","42""",2014,Normal 90%,,
27,Checkin Island F Self Baggage Drop Kanan T3-DOM,3U-DOM,Checkin,172.17.148.14,China,HP,Thin Client Elite t655,8CG42730Y5,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,42LS35A,003INZY6K213,"6 HDMI, 1DP,1DVI-D","42""",2014,Normal 90%,,
28,Checkin Island A 01 T3-INT,3U-INT,Checkin,172.17.150.83,China,HP,Thin Client t640,8CN32508GB,"VGA, DP",60 GB,8 GB,Windows 10,2024,Normal 100%,22-04-2021,Korea,LG,43SM5KE-BJ,111INMF5G131,"3 HDMI, 1DP,1DVI-D","43""",2022,Normal 90%,,
29,Checkin Island A 02 T3-INT,3U-INT,Checkin,172.17.150.82,.,.,.,G6PY802003P1,"1HDMI,1VGA",120 GB,4 GB,Lubuntu,2018,Normal 50%,,Korea,LG,43UH5F-BJ,004KCNLMQ975,"3 HDMI, 1DP,1DVI-D","43""",2022,Normal 90%,,
30,Checkin Island A 03 T3-INT,3U-INT,Checkin,172.17.150.81,.,.,.,E000141200232,"1HDMI,1VGA",8 GB,4 GB,Lubuntu,2017,Normal 35%,,Korea,LG,42LS35A,411KCHE16241,"2HDMI,1VGA","42""",2016,Normal 90%,,
