---,LOKASI,TERMINAL,ZONA,IP Address,MINI PC,,,,,,,,,,,MONITOR,,,,,,,,,
,,,,,Buatan,Merk,Model,S/N,Support Port,Disk Capacity,Ram Capacity,OS,Tahun Pengadaan,Kondisi (%),Status Garansi,Buatan,Merk,Model,S/N,Support Port,Ukuran (Inch),Tahun Pengadaan,Kondisi (%),Status Garansi,
83,Checkin Island C 04 T3-INT,3U-INT,Checkin,172.17.150.24,China,HP,Thin Client Elite t655,8CG40936G7,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,43SM5KE-B,111INCN5F979,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
84,Checkin Island C 05 T3-INT,3U-INT,Checkin,172.17.150.23,.,.,.,G5PY708009X1,"1HDMI,1VGA",120 GB,4 GB,Lubuntu,2017,Normal 90%,,Korea,LG,43SM5KE-B,107INEW0V572,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,,
85,Checkin Island C 06 T3-INT,3U-INT,Checkin,172.17.150.22,China,HP,Thin Client t640,8CN32508GH,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43SM5KE-B,111INWA2R225,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,,
86,Checkin Island C 07 T3-INT,3U-INT,Checkin,172.17.150.21,China,HP,Thin Client Elite t655,8CG437278B,"VGA, DP",60 GB,8 GB,Windows 10,2024,Normal 90%,,China,BOE,LDV43AAAXX,D430132AA310200154,3 HDMI,"43""",2024,Normal 90%,,
87,Checkin Island C 08 T3-INT,3U-INT,Checkin,172.17.150.20,China,HP,Thin Client t640,8CN32508LK,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43SM5KE-B,111INWA5G161,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,03-04-2026,
88,Checkin Island C 09 T3-INT,3U-INT,Checkin,172.17.150.19,China,HP,Thin Client Elite t655,8CG3452KF0,"1HDMI,1VGA",8 GB,4 GB,Windows 10,2017,Normal 90%,,Korea,LG,43UH5F,111INMF0071,"1 HDMI, 1 RGB","42""",2021,Normal 90%,,
89,Checkin Island C 10 T3-INT,3U-INT,Checkin,172.17.150.18,.,.,.,G6PY802004M1,"1 HDMI, 1 VGA, 1 LAN",60 GB,8 GB,Windows 10,2017,Normal 90%,,Korea,LG,43SM5KE-B,111INRCAV574,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
90,Checkin Island C 11 T3-INT,3U-INT,Checkin,172.17.150.17,China,HP,Thin Client t640,8CN32508KL,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2017,Normal 90%,,Korea,LG,43UN731C0TC,106INYD77594,"1 HDMI, 1 RGB","43""",2022,Normal 90%,,
91,Checkin Island C 12 T3-INT,3U-INT,Checkin,172.17.150.16,China,HP,Thin Client t640,8CN32508KV,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43UP731C0TC,209INWAAAP441,"1 HDMI, 1 RGB","42""",2014,Normal 90%,,
92,Checkin Island C 13 T3-INT,3U-INT,Checkin,172.17.150.15,China,HP,Thin Client t640,8CN32508GP,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43SM5KE-B,111INFK5G115,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
93,Checkin Island C 14 T3-INT,3U-INT,Checkin,172.17.150.13,.,.,.,E000141200266,"1HDMI,1VGA",8 GB,4 GB,Windows 10,2022,Normal 90%,09-12-2025,Korea,LG,LDV43AAAXX,D430132AA310200077,3 HDMI,"43""",2024,Normal 90%,,
94,Checkin Island C 15 T3-INT,3U-INT,Checkin,172.17.150.12,China,HP,Thin Client Elite t655,8CG40935ZD,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 90%,,Korea,LG,43SM5KE-B,111INTX5G129,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,07-05-2026,
95,Checkin Island C 16 T3-INT,3U-INT,Checkin,172.17.150.11,China,HP,Thin Client t640,8CN1010LPS,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2017,Normal 90%,,Korea,LG,43SM5KE-B,111INCN5G123,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
96,Checkin Island C 17 T3-INT,3U-INT,Checkin,172.17.150.10,China,HP,Thin Client t640,8CN32508GL,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43SM5KE-B,111INZY5G389,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,,
97,Checkin Island C 18 T3-INT,3U-INT,Checkin,172.17.150.9,China,HP,Thin Client t640,8CN32508KP,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43SM5KE-B,111INMFAV563,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,,
98,Checkin Island C 19 T3-INT,3U-INT,Checkin,172.17.150.8,China,HP,Thin Client Elite t655,8CG42730XH,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,INA,LG,43SM5KE,111INMF5G107,"3 HDMI, 2DP, 1DVI","43""",2024,Normal 100%,,
99,Checkin Island C 20 T3-INT,3U-INT,Checkin,172.17.150.7,China,HP,Thin Client t640,8CN32508GF,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43SM5KE-B,111INJL5G164,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,03-04-2026,
100,Checkin Island C 21 T3-INT,3U-INT,Checkin,172.17.150.6,China,HP,Thin Client t640,8CN1010LQM,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,01-03-2024,Korea,LG,43SM5KE-B,107INCN0V563,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
101,Checkin Island C 22 T3-INT,3U-INT,Checkin,172.17.150.5,China,HP,Thin Client t640,8CN1010LPB,"1 HDMI, 1 VGA, 1 LAN",60 GB,8 GB,Windows 10,2017,Normal 90%,,Korea,LG,43SM5KE,111INDP5G130 ,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
102,Checkin Island C 23 T3-INT,3U-INT,Checkin,172.17.150.4,.,.,.,G6PY8020020L,"1 HDMI, 1 VGA, 1 LAN",60 GB,8 GB,Windows 10,2017,Normal 90%,,Korea,LG,43SM5KE-B,111INGQ5G007,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
103,Checkin Island C 24 T3-INT,3U-INT,Checkin,172.17.150.3,.,.,.,A01E0B03758A,"1HDMI,1VGA",120 GB,4 GB,Windows 10,2018,Normal 90%,22-04-2021,Korea,LG,43SM5KE,111INPT5G312,"1 HDMI, 1 RGB","43""",2022,Normal 90%,30-01-2026,
104,Checkin Island C 25 T3-INT,3U-INT,Checkin,172.17.150.2,.,HP,Thin Client t640,8CN2390F7L,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-11-2025,Korea,LG,43SM5KE,106INNG3B223,"1 HDMI, 1 RGB","43""",2022,Normal 90%,15-01-2026,
105,Checkin Island C 26 T3-INT,3U-INT,Checkin,172.17.150.1,.,.,.,E000141200335,"1HDMI,1VGA",8 GB,4 GB,Windows 10,2017,Normal 90%,,Korea,LG,43UH5F,008INNG6S711,"1 HDMI, 1 RGB","42""",2021,Normal 90%,,
106,Checkin Island D 01 T3-DOM,3U-DOM,Checkin,172.17.148.83,China,HP,Thin Client t640,8CN25202GK,"HDMI, VGA",30 GB,2 GB,Windows 10,2017,Normal 50%,,Korea,LG,43SM5KE-B,111INTX5G105,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
107,Checkin Island D 02 T3-DOM,3U-DOM,Checkin,172.17.148.82,.,.,.,1706631332,"1 HDMI, 1 LAN",120 GB,4 GB,Lubuntu,2017,Normal 50%,,Korea,LG,43SM5KE-B,111INVM5G311,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
108,Checkin Island D 03 T3-DOM,3U-DOM,Checkin,172.17.148.81,.,.,.,A01E0B0373B7,"1 HDMI, 1 VGA, 1 LAN",60 GB,8 GB,Windows 10,2017,Normal 90%,,Korea,LG,43SM5KD,806KCDGKE434,"3 HDMI, 2DP, 1DVI","43""",2018,Normal 90%,,
109,Checkin Island D 04 T3-DOM,3U-DOM,Checkin,172.17.148.80,China,HP,Thin Client t640,8CN25202GL,DP ,60 GB,8 GB,Windows 10,2023,Normal 50%,,Korea,BOE,DV43A-A,D430132AA310200012,HDMI,"43""",2023,Normal 90%,,
110,Checkin Island D 05 T3-DOM,3U-DOM,Checkin,172.17.148.79,China,HP,Thin Client t640,8CN2490GQ0,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,03-02-2026,Korea,BOE,LDV43AAAXX,D430132AA310200066,2 HDMI,"43""",2021,Normal 90%,,
111,Checkin Island D 06 T3-DOM,3U-DOM,Checkin,172.17.148.78,.,.,.,E000141200280,"1HDMI,1VGA",8 GB,4 GB,Lubuntu,2017,Normal 35%,,Korea,LG,43SM5KE-B,111ILLV5F984,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
112,Checkin Island D 07 T3-DOM,3U-DOM,Checkin,172.17.148.77,China,HP,Thin Client Elite t655,8CG5080SCS,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2025,Normal 50%,,Korea,LG,43SM5KE-B,111INPTAV576,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 100%,,
113,Checkin Island D 08 T3-DOM,3U-DOM,Checkin,172.17.148.76,China,HP,Thin Client t640,8CN32508G8,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43SM5KE-B,806KCHEKE401,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
114,Checkin Island D 09 T3-DOM,3U-DOM,Checkin,172.17.148.75,China,HP,Thin Client t640,8CN32508KY,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43SM5KD,806KCVUKE447,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,,
115,Checkin Island D 10 T3-DOM,3U-DOM,Checkin,172.17.148.74,China,HP,Thin Client Elite t655,8CG3452KF9,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 90%,,Korea,LG,43SM5KE-B,111INGQ5G127,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
116,Checkin Island D 11 T3-DOM,3U-DOM,Checkin,172.17.148.73,China,HP,Thin Client Elite t655,8CG3452KF2,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 90%,,Korea,LG,43SM5KE-B,107INSE0V566,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,,
117,Checkin Island D 12 T3-DOM,3U-DOM,Checkin,172.17.148.72,China,HP,Thin Client t640,8CN32508L6,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43SM5KE-B,111INTX5F961,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,03-04-2026,
118,Checkin Island D 13 T3-DOM,3U-DOM,Checkin,172.17.148.71,.,.,.,JZ64W10B16100916,"1 HDMI, 1 VGA, 1 LAN",60 GB,8 GB,Windows 10,2017,Normal 90%,,Korea,LG,43LT430COTB,001INSE8Z542,"1 HDMI, 1 RGB","43""",2021,Normal 90%,,
119,Checkin Island D 14 T3-DOM,3U-DOM,Checkin,172.17.148.69,China,HP,Thin Client t640,8CN05302JD,DP,60 GB,8 GB,Windows 10,2023,Normal 50%,,Korea,LG,43SM5KE-B,111INFK5G163,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,30-01-2026,
120,Checkin Island D 15 T3-DOM,3U-DOM,Checkin,172.17.148.68,China,HP,Thin Client Elite t655,8CG4111DWM,"DP, VGA",60 GB,8 GB,Windows 10,2024,Normal 50%,,Korea,LG,43SM5KE-B,111INFKAV571,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,05-07-2026,
121,Checkin Island D 16 T3-DOM,3U-DOM,Checkin,172.17.148.67,China,HP,Thin Client t640,8CN05302HJ,DP,60 GB,8 GB,Windows 10,2023,Normal 50%,,Korea,BOE,DV43A-A,D430132AA372600194,"3 HDMI, 2DP, 1DVI","43""",2025,Normal 90%,,
122,Checkin Island D 17 T3-DOM,3U-DOM,Checkin,172.17.148.66,China,HP,Thin Client t640,8CN2490GQ9,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,03-02-2026,Korea,LG,43SM5KE-B,111INZY5F957,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,30-01-2026,
123,Checkin Island D 18 T3-DOM,3U-DOM,Checkin,172.17.148.65,China,HP,Thin Client Elite t655,8CG5080SCW,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 100%,,Korea,LG,43SM5KE-B,111INRC5G382,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,,
124,Checkin Island D 19 T3-DOM,3U-DOM,Checkin,172.17.148.64,.,.,.,E000141200027,"1HDMI,1VGA",8 GB,4 GB,Lubuntu,2017,Normal 35%,,Korea,LG,43SM5KE-B,111INQU5G388,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,,
125,Checkin Island D 20 T3-DOM,3U-DOM,Checkin,172.17.148.63,China,HP,Thin Client Elite t655,8CG5080SCZ,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 100%,,Korea,LG,43SM5KE-B,111INSE5G126,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
126,Checkin Island D 21 T3-DOM,3U-DOM,Checkin,172.17.148.62,China,HP,Thin Client t640,8CN2490GR9,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,03-02-2026,Korea,LG,43SM5KE-B,111INSE5F982,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
127,Checkin Island D 22 T3-DOM,3U-DOM,Checkin,172.17.148.61,.,.,.,E000141200076,"1HDMI,1VGA",8 GB,4 GB,Lubuntu,2017,Normal 35%,,Korea,LG,43SM5KE-B,00KCPYMQ984,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
128,Checkin Island D 23 T3-DOM,3U-DOM,Checkin,172.17.148.60,China,HP,Thin Client t640,8CN83504LK,"DP, VGA",30 GB,4 GB,Windows 10,2020,Normal 50%,,Korea,LG,43SM5KE-B,106INEW3V732,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,15-01-2026,
129,Checkin Island D 24 T3-DOM,3U-DOM,Checkin,172.17.148.59,China,HP,Thin Client t640,8CN32508LG,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43SM5KE-B,106INUB3B222,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,15-01-2026,
130,Checkin Island D 25 T3-DOM,3U-DOM,Checkin,172.17.148.58,.,.,.,E000141200305,"1HDMI,1VGA",8 GB,4 GB,Lubuntu,2017,Normal 50%,,Korea,LG,43SM5KE-B,111INBS5G165,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,03-04-2026,
131,Checkin Island D 26 T3-DOM,3U-DOM,Checkin,172.17.148.57,China,HP,Thin Client Elite t655,8CG43220BP,"DP, VGA",60 GB,8 GB,Windows 10,2024,Normal 50%,,Korea,LG,43SM5KE-B,111JNYD5G242 ,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,30-01-2026,
132,Checkin Island E 01 T3-DOM,3U-DOM,Checkin,172.17.148.55,China,HP,Thin Client t640,8CN25202GK,"DP, VGA",60 GB,8 GB,Windows 10,2024,Normal 50%,,Korea,LG,43SM5KE-B,111INZY5G101,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,,
133,Checkin Island E 02 T3-DOM,3U-DOM,Checkin,172.17.148.54,.,.,.,Filled by OEM,"1HDMI,1VGA",8 GB,4 GB,Lubuntu,2017,Normal 50%,,Korea,LG,43SM5KE-B,111INEW5F964,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,,
134,Checkin Island E 03 T3-DOM,3U-DOM,Checkin,172.17.148.53,.,.,.,E000141200144,"1HDMI,1VGA",8 GB,4 GB,Lubuntu,2017,Normal 50%,,Korea,LG,43SM5KE-B,111INLV5G152,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,,
135,Checkin Island E 04 T3-DOM,3U-DOM,Checkin,172.17.148.52,.,.,.,E000141200076,"1HDMI,1VGA",8 GB,4 GB,Lubuntu,2017,Normal 50%,,Korea,LG,43SM5KE-B,111INFK5G355,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,,
136,Checkin Island E 05 T3-DOM,3U-DOM,Checkin,172.17.148.51,.,.,.,G6AY91700GHP,"1HDMI,1VGA",120 GB,4 GB,Windows 10,2018,Normal 90%,13-08-2022,Korea,LG,43SM5KE-B,111INVM5G095,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,,
137,Checkin Island E 06 T3-DOM,3U-DOM,Checkin,172.17.148.50,.,.,.,A01E0B02E432,"1 HDMI, 1 VGA, 1 LAN",60 GB,8 GB,Windows 10,2017,Normal 90%,,Korea,LG,43SM5KE-B,111INQU5F980,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,,
138,Checkin Island E 07 T3-DOM,3U-DOM,Checkin,172.17.148.49,.,.,.,E000141200132,"1HDMI,1VGA",8 GB,4 GB,Lubuntu,2017,Normal 50%,,Korea,LG,43SM5KE-B,111INXJ5G162,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,03-04-2026,
139,Checkin Island E 08 T3-DOM,3U-DOM,Checkin,172.17.148.48,.,.,.,A01E0B02E5EB,"1 HDMI, 1 VGA, 1 LAN",60 GB,8 GB,Windows 10,2017,Normal 90%,,Korea,LG,43SM5KE-B,111INMF5G155,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,30-01-2026,
140,Checkin Island E 09 T3-DOM,3U-DOM,Checkin,172.17.148.47,.,.,.,A01E0B02E54D,"1 HDMI, 1 VGA, 1 LAN",60 GB,8 GB,Lubuntu,2018,Normal 90%,22-04-2021,Korea,LG,43SM5KE-B,111INPT5G384,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,,
141,Checkin Island E 10 T3-DOM,3U-DOM,Checkin,172.17.148.46,.,.,.,E000141200209,"1HDMI,1VGA",8 GB,4 GB,Lubuntu,2017,Normal 90%,,Korea,LG,43SM5KE-BJ,111INCN5G363,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,,
142,Checkin Island E 11 T3-DOM,3U-DOM,Checkin,172.17.148.45,China,HP,Thin Client t640,8CN2390F82,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-11-2022,Korea,LG,43SM5KE-BJ,111INZY5G077,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,03-04-2026,
143,Checkin Island E 12 T3-DOM,3U-DOM,Checkin,172.17.148.44,.,.,.,1613631979,"1 HDMI, 1 LAN",120 GB,4 GB,Windows 10,2017,Normal 50%,,Korea,LG,43SM5KE-BJ,111INCN5G387,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,,
144,Checkin Island E 13 T3-DOM,3U-DOM,Checkin,172.17.148.43,.,HP,Thin Client Elite t655,8CG42730YG,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,,Korea,LG,43UH5F-HJ,101INUB00598,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,,
145,Checkin Island E 14 T3-DOM,3U-DOM,Checkin,172.17.148.41,.,.,.,1624630597,"1 HDMI, 1 LAN",120 GB,4 GB,Lubuntu,2017,Normal 50%,,Korea,LG,43SM5KE-BJ,111INEW5G204,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,03-04-2026,
146,Checkin Island E 15 T3-DOM,3U-DOM,Checkin,172.17.148.40,China,HP,Thin Client t640,8CN2Q104KB,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,,Korea,LG,43SM5KE-BJ,111INLV5F960,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,03-04-2026,
147,Checkin Island E 16 T3-DOM,3U-DOM,Checkin,172.17.148.39,China,HP,Thin Client t640,8CN32508LH,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43SM5KE-BJ,111INVM5G119,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,,
148,Checkin Island E 17 T3-DOM,3U-DOM,Checkin,172.17.148.38,.,.,.,1613631975,"1 HDMI, 1 LAN",120 GB,4 GB,Lubuntu,2017,Normal 90%,,Korea,LG,43SM5KE-BJ,111INYD2R210,"3 HDMI, 2DP, 1DVI",43,2014,Normal 90%,,
149,Checkin Island E 18 T3-DOM,3U-DOM,Checkin,172.17.148.37,China,HP,Thin Client t640,8CN2410FZ4,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,,Korea,LG,43SM5KE-BJ,111INKH5G085,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,,
150,Checkin Island E 19 T3-DOM,3U-DOM,Checkin,172.17.148.36,.,.,.,4205HQLH70028,"2 HDMI, 1 LAN",128 GB,8 GB,Windows 10,2019,Normal 90%,,Korea,LG,43SM5KE-BJ,111INGQ1X047,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,,
151,Checkin Island E 20 T3-DOM,3U-DOM,Checkin,172.17.148.35,.,.,.,4205HQLH70060,"2 HDMI, 1 LAN",128 GB,8 GB,Windows 10,2019,Normal 90%,,Korea,LG,43SM5KE-BJ,111INPT5G168,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,03-04-2026,
152,Checkin Island E 21 T3-DOM,3U-DOM,Checkin,172.17.148.34,China,HP,Thin Client t640,8CN0480K36,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-01-2024,Korea,LG,43SM5KE-B,111INYD5F978,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
153,Checkin Island E 22 T3-DOM,3U-DOM,Checkin,172.17.148.33,China,HP,Thin Client Elite t655,8CG5080SCY,"3DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-02-2026,Korea,LG,43SM5KE-B,111INZY5G149,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
154,Checkin Island E 23 T3-DOM,3U-DOM,Checkin,172.17.148.32,China,HP,Thin Client t640,8CN25202GB,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,18-02-2026,Korea,LG,43SM5KE-B,111INSE5G102,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
155,Checkin Island E 24 T3-DOM,3U-DOM,Checkin,172.17.148.31,China,HP,Thin Client t640,8CN05302HN,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-02-2024,Korea,LG,43SM5KE-B,111INQU1X092,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
156,Checkin Island E 25 T3-DOM,3U-DOM,Checkin,172.17.148.30,China,HP,Thin Client Elite t655,8CG3452KDX,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 95%,01-01-2027,Korea,LG,43SM5KE-B,111INRC5G166,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,03-04-2026,
157,Checkin Island E 26 T3-DOM,3U-DOM,Checkin,172.17.148.29,.,.,.,000A6246,"1HDMI,1VGA",8 GB,4 GB,Puppy,2017,Normal 50%,,Korea,LG,43SM5KE-B,111INKH5G157,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,03-04-2026,
158,Checkin Island F 01 T3-DOM,3U-DOM,Checkin,172.17.148.27,China,HP,Thin Client t640,8CN2490GPC,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,03-02-2026,Korea,LG,43SM5KE-B,111INDP5G178,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,02-05-2026,
159,Checkin Island F 02 T3-DOM,3U-DOM,Checkin,172.17.148.26,China,HP,Thin Client Elite t655,8CG42730XK,"DP, VGA",60 GB,8 GB,Windows 10,2024,Normal 90%,,Korea,LG,43SM5KE-B,111INCN5G099,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,05-07-2026,
160,Checkin Island F 03 T3-DOM,3U-DOM,Checkin,172.17.148.25,China,HP,Thin Client t640,8CN2490GRB,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,03-02-2026,Korea,LG,43SM5KE-B,209INBSAP469,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
161,Checkin Island F 04 T3-DOM,3U-DOM,Checkin,172.17.148.24,China,HP,Thin Client t640,8CN2490GPP,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,03-02-2026,Korea,LG,43SM5KE-B,111INEW5F988,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,03-04-2026,
162,Checkin Island F 05 T3-DOM,3U-DOM,Checkin,172.17.148.23,China,HP,Thin Client t640,8CN1010LNR,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,01-03-2024,Korea,LG,43SM5KE-B,111INCN5G099,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
163,Checkin Island F 06 T3-DOM,3U-DOM,Checkin,172.17.148.22,China,HP,Thin Client t640,8CN05302H6,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-02-2024,Korea,LG,43SM5KE-B,111INEW1X052,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
164,Checkin Island F 07 T3-DOM,3U-DOM,Checkin,172.17.148.21,China,HP,Thin Client Elite t655,8CG42730XL,"DP, VGA",60 GB,8 GB,Windows 10,2024,Normal 90%,,Korea,LG,43SM5KE-B,111INMF5F963,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,15-01-2023,
165,Checkin Island F 08 T3-DOM,3U-DOM,Checkin,172.17.148.20,.,.,.,A01E0B02E54D,"1 HDMI, 1 LAN",32 GB,2 GB,Windows,2017,Normal 50%,,Korea,LG,43SM5KE-B,110INQU5G100,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
166,Checkin Island F 09 T3-DOM,3U-DOM,Checkin,172.17.148.19,China,HP,Thin Client Elite t655,8CG42730Y2,"DP, VGA",60 GB,8 GB,Windows 10,2024,Normal 90%,,Korea,LG,43SM5KE-B,111INHZ5G241,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,03-04-2026,
