,CGEAR,NAMA PERALATAN,LOKASI,Terminal,Zona,IP Address,Mini PC,,,,,,,,,,,Monitor,,,,,,,,,,,,,,,
,,PUBLIC SERVICES & IT SYSTEM BSH,,,,,Buatan,Merk,Model,S/N,Support Port,Disk Capacity,Ram Capacity,OS,Tahun Pembuatan,Kondisi,Status Garansi,Buatan,Merk,Model,S/N,Support Port,Ukuran (Inch),Tahun Pembuatan,Kondisi,Port,Converter,Port 2,,,,,
,TERMINAL 1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,88,FIDS - Display 088,Checkin Counter 16 T1B,1B,Checkin,172.17.28.50,-,Signage,,G6BN82100GRF,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,808KCLHKE408,,"43""",2018,100,HDMI,,HDMI to HDMI,,18,,,
20,89,FIDS - Display 089,Checkin Counter 17 T1B,1B,Checkin,172.17.28.51,-,Signage,,,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCPYKE400,,"43""",2018,100,HDMI,,HDMI to HDMI,,19,,,
21,90,FIDS - Display 090,Checkin Counter 18 T1B,1B,Checkin,172.17.28.52,China,INTELNUC,NUC7i3BNH,G6BN82100GW1,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCLHKE432,,"43""",2018,100,HDMI,,HDMI to HDMI,,20,,,
22,91,FIDS - Display 091,Checkin Counter 19 T1B,1B,Checkin,172.17.28.53,China,INTELNUC,NUC7i3BNH,G6BN82100GW4,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,807KCSFMG142,,"43""",2018,100,HDMI,,HDMI to HDMI,,21,,,
23,92,FIDS - Display 092,Checkin Counter 20 T1B,1B,Checkin,172.17.28.54,China,INTELNUC,NUC7i3BNH,G6BN82100HCG,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,807KCWCMG153,,"43""",2018,100,HDMI,,HDMI to HDMI,,22,,,
24,93,FIDS - Display 093,Checkin Counter 21 T1B,1B,Checkin,172.17.28.55,China,INTELNUC,NUC7i3BNH,G6BN82100H69,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,807KCZPMG093,,"43""",2018,100,HDMI,,HDMI to HDMI,,23,,,
25,94,FIDS - Display 094,Checkin Counter 22 T1B,1B,Checkin,172.17.28.56,-,Signage,,,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,803KCUKQG318,,"43""",2018,100,HDMI,,HDMI to HDMI,,24,,,
26,95,FIDS - Display 095,Checkin Counter 23 T1B,1B,Checkin,172.17.28.57,China,INTELNUC,NUC7i3BNH,G6BN82100H3H,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCZPKE429,,"43""",2018,100,HDMI,,HDMI to HDMI,,25,,,
27,96,FIDS - Display 096,Checkin Counter 24 T1B,1B,Checkin,172.17.28.58,China,INTELNUC,NUC7i3BNH,G6BN82100HBT,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCKJKE437,,"43""",2018,100,HDMI,,HDMI to HDMI,,26,,,
28,97,FIDS - Display 097,Checkin Counter 25 T1B,1B,Checkin,172.17.28.59,China,INTELNUC,NUC7i3BNH,G6BN82100H8B,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCFTKE419,,"43""",2018,100,HDMI,,HDMI to HDMI,,27,,,
29,98,FIDS - Display 098,Checkin Counter 26 T1B,1B,Checkin,172.17.28.60,China,INTELNUC,NUC7i3BNH,G6BN82100H1M,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCQXKE428,,"43""",2018,100,HDMI,,HDMI to HDMI,,28,,,
30,99,FIDS - Display 099,General Checkin Kiri T1B,1B,Checkin,172.17.28.32,China,HP,Thin Client t630,8CN8420LDM,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2018,100,,Korea,LG,65UH5C-BF,707KCXM1H122,,"65""",2018,100,HDMI ,ü,DP ,,29,,,
31,100,FIDS - Display 100,General Checkin Kanan T1B,1B,Checkin,172.17.28.32,,,,,,,,Win 10,2018,100,,Korea,LG,65UH5C-BF,707KCSF1H686,,"65""",2018,100,HDMI ,,DP ,,30,,,
34,103,FIDS - Display 103,Rest Area Kiri T1B,1B,Boarding,172.17.28.63,-,Signage,,-,,,,Signage,2018,100,,Korea,LG,65UH5C,805KCYQKY194,,"65""",2018,100,,,Signage,,33,,,
35,104,FIDS - Display 104,Rest Area Kanan T1B,1B,Boarding,172.17.28.64,-,Signage,,-,,,,Signage,2018,100,,Korea,LG,65UH5C,805KCRNKY214,,"65""",2018,100,,,Signage,,34,,,
36,105,FIDS - Display 105,"Boarding Gate B1,2 T1B",1B,Boarding,172.17.28.65,China,HP,Thin Client Elite t655,8CG5063T88,"DP, VGA",60 GB,8 GB,Win 10,2025,135,,China,BOE,LDV55AAAXX,	D550134AA2Z0600080,,"55""",2023,125,HDMI,,Signage,,35,,,
37,106,FIDS - Display 106,Boarding Gate B3 T1B,1B,Boarding,172.17.28.66,-,Signage,,-,,,,Signage,2018,100,,Korea,LG,55UH5C,807KCMRKY915,,"55""",2018,100,VGA/HDMI,,Signage,,36,,,
38,107,FIDS - Display 107,Boarding Gate B4 T1B,1B,Boarding,172.17.28.67,China,HP,Thin Client Elite t655,8CG5063T7X,"1 VGA, 3DP",60 GB,8 GB,Win 10 ,2025,100,,Korea,LG,55UH5C,807KCRNKY950,,"55""",2018,100,VGA/HDMI,ü,VGA TO HDMI,,37,,,
39,108,FIDS - Display 108,Boarding Gate B5 T1B,1B,Boarding,172.17.28.68,China,HP,Thin Client Elite t655,8CG5063T84,"1 VGA, 3DP",60 GB,8 GB,Win 10 ,2025,100,,China,BOE,LDV55AAAXX,D550134AA2Z0600108,,"55""",2022,120,HDMI,ü,HDMI to HDMI,,38,,,
40,109,FIDS - Display 109,"Boarding Gate B6,7 T1B",1B,Boarding,172.17.28.69,China,LENOVO,ThinkEdge SE10,PF63GL1Y,,152GB,4GB,Lubuntu,2018,100,,Korea,LG,55UH5C-B,807KCSFKY910,,"55""",2018,100,,,Signage,,39,,,
41,110,FIDS - Display 110,Boarding Linking B1 T1B,1B,Linking,172.17.28.70,China,HP,Thin Client Elite t655,8CG4372784,"1 VGA, 3DP",60 GB,8 GB,Win 10 ,2025,135,,Cina,LG,55UH5C,"707KCJZ0A348",,"55""",2018,100,2 HDMI,ü,1 DP,,40,,,
42,111,FIDS - Display 111,Boarding Linking B2 T1B,1B,Linking,172.17.28.71,China,CGEAR,D945GSEJT,Filled By O.E.M,"3 USB, 1 LAN, 1 DVI, 1 VGA",60 GB,8 GB,Win 10 ,2025,135,,Cina,BOE,LDV55AAAXX,D550134AA2Z0600061,,"55""",2022,120,HDMI,ü,VGA TO HDMI,,41,,,
43,112,FIDS - Display 112,Boarding Linking B3 Kiri T1B,1B,Linking,172.17.28.72,China,HP,Thin Client t630,8CN8420LC6,"2 DP, 7 USB Type A, 1 LAN",61 GB,9 GB,Win 10 ,2025,135,,Korea,LG,55UH5C,807KCWCKY921,,"55""",2018,100,DP,,DP TO HDMI,,42,,,
44,113,FIDS - Display 113,Boarding Linking B3 Kanan T1B,1B,Linking,172.17.28.73,China,INTELNUC,NUC7i3BNH,G6BN82100HHG,"1 VGA, 1 HDMI",152GB,4GB,Lubuntu,2025,135,,Cina,LG,55UH5C,807KCYQKY930,,"55""",2018,100,DP,,HDMI TO HDMI,,43,,,
45,114,FIDS - Display 114,Boarding Linking B4 Kiri T1B,1B,Linking,172.17.28.74,China,CGEAR,D945GSEJT,Filled By O.E.M,"3 USB, 1 LAN, 1 DVI, 1 VGA",148GB,,Lubuntu,2012,70,,Cina,BOE,LDV55AAAXX,D550134AA2Z0600054,,"55""",2025,135,VGA,ü,VGA TO HDMI,,44,,,
46,115,FIDS - Display 115,Boarding Linking B4 Kanan T1B,1B,Linking,172.17.28.75,China,CGEAR,D945GSEJT,Filled By O.E.M,"3 USB, 1 LAN, 1 DVI, 1 VGA",148GB,2GB,Lubuntu,2018,70,,Korea,LG,55UH5C,807KCFTKY899,,"55""",2018,100,DP,ü,VGA TO HDMI,,45,,,
47,116,FIDS - Display 116,Boarding Linking B5 T1B,1B,Linking,172.17.28.76,China,INTELNUC,NUC7i3BNH,G6BN82100H6B,"1 VGA, 3DP",60 GB,8 GB,Win10,2025,100,,Korea,LG,55UH5C,807KCLMRKY987,,"55""",2018,100,VGA,,DP TO DP,,46,,,
48,117,FIDS - Display 117,Boarding Linking B6 Kiri T1B,1B,Linking,172.17.28.77,China,CGEAR,D945GSEJT,Filled By O.E.M,"3 USB, 1 LAN, 1 DVI, 1 VGA",148GB,2GB,Win10,2018,100,,Jepang,LG,55UH5C,807KCASKY968,,"55""",2012,70,DP,,DP TO DP,,47,,,
49,118,FIDS - Display 118,Boarding Linking B6 Kanan T1B,1B,Linking,172.17.28.78,China,HP,Thin Client Elite t655,8CG4372789,"1 VGA, 3DP",60 GB,8 GB,Win10,2025,135,,Korea,LG,55UH5C,807KCZPKY957,,"55""",2018,100,HDMI,,HDMI,,48,,,
50,119,FIDS - Display 119,Boarding Linking B7 T1B,1B,Linking,172.17.28.79,China,HP,Thin Client Elite t655,8CG5080SCM,"3 USB, 1 LAN, 1 DVI, 1 VGA",148GB,2GB,Lubuntu,2012,70,,Cina,BOE,LDV55AAAXX,D550134AA2Z0600072,,"55""",2025,135,DVI,ü,VGA TO HDMI,,49,,,
51,120,FIDS - Display 120,Bagage Breakdown B1 T1B,1B,Breakdown,172.17.28.81,China,CYCRONE,MPC X3700,Filled By O.E.M,"HDMI, VGA",148GB,2GB,Lubuntu,2017,95,,Korea,LG,43LT340C0TB,003INBS6K229,,"43""",2012,70,VGA to HDMI,ü,VGA to HDMI,,50,,,
52,121,FIDS - Display 121,Bagage Breakdown B2 T1B,1B,Breakdown,172.17.28.82,China,GIGABYTE,GB-BSi3H-6100,1706631337,"3 USB, 1 LAN, 1 DVI, 1 VGA",148GB,2GB,Win 10,2018,100,,Korea,LG,43SM5KD,806KCYQKE426,,"43""",2018,100,DP to HDMI,,DP to HDMI,,51,,,
53,122,FIDS - Display 122,Bagage Breakdown B3 T1B,1B,Breakdown,172.17.28.83,China,HP,Thin Client t630,8CN8420LDG,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2017,95,,Korea,LG,43SM5KD,806KCHEKE449,,"43""",2018,100,DP to HDMI,,DP to HDMI,,52,,,
54,123,FIDS - Display 123,Bagage Breakdown B4 T1B,1B,Breakdown,172.17.28.84,China,CGEAR,D945GSEJT,Filled By O.E.M,"3 USB, 1 LAN, 1 DVI, 1 VGA",148GB,2GB,Lubuntu,2017,95,,Korea,LG,43LJ500T,707INBS0L373,,"43""",2017,95,VGA to HDMI,ü,VGA to HDMI,,53,,,
55,124,FIDS - Display 124,Bagage Breakdown B5 T1B,1B,Breakdown,172.17.28.85,China,HP,Thin Client t630,8CN91608FX,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2018,100,,Korea,LG,32LS5700,205INSE37518,,"32""",2012,70,DP to HDMI,,DP TO HDMI,,54,,,
56,125,FIDS - Display 125,General Bagage Claim T1B,1B,Baggage,172.17.28.80,China,CGEAR,D945GSEJT,Filled By O.E.M,"3 USB, 1 LAN, 1 DVI, 1 VGA",148GB,2GB,Lubuntu,2012,70,,Korea,LG,65UH5C,805KCZPKY173,,"65""",2018,80,,ü,VGA TO HDMI,,55,,,
57,126,FIDS - Display 126,Bagage Claim B1 T1B,1B,Baggage,172.17.28.86,China,INTELNUC,NUC7i3BNH,G6BN82100GC6,"4 USB, 1 LAN, 1 HDMI",152GB,4GB,Lubuntu,2012,70,,Korea,LG,55UH5C,807KCZPKY933,,"55""",2018,100,HDMI,,HDMI TO HDMI,,56,,,
58,127,FIDS - Display 127,Bagage Claim B2 T1B,1B,Baggage,172.17.28.87,China,GIGABYTE,GB-BSi3H-6100,1624630592,"1 HDMI, 1,VGA",120GB,4GB,Lubuntu,2017,95,,Korea,LG,55UH5C,807KCCVKY907,,"55""",2018,100,HDMI,,HDMI TO HDMI,,57,,,
59,128,FIDS - Display 128,Bagage Claim B3 T1B,1B,Baggage,172.17.28.88,China,CGEAR,D945GSEJT,Filled By O.E.M,"3 USB, 1 LAN, 1 DVI, 1 VGA",148GB,2GB,Lubuntu,2012,70,,Korea,LG,55UH5C,807KCBDKY901,,"55""",2018,100,HDMI,ü,VGA TO HDMI,,58,,,
60,129,FIDS - Display 129,Bagage Claim B4 T1B,1B,Baggage,172.17.28.89,China,HP,Thin Client Elite t655,8CG5063T86,"DP, VGA",60 GB,8 GB,Win 10,2025,135,,Korea,LG,55UH5C,807KCMRKY963,,"55""",2018,100,HDMI,,HDMI TO HDMI,,59,,,
61,130,FIDS - Display 130,Bagage Claim B5 T1B,1B,Baggage,172.17.28.90,China,GIGABYTE,GB-BSi3H-6100,1624630599,"1 HDMI,",120GB,4GB,Lubuntu,2017,95,,Korea,LG,55UH5C,807KCJZKY972,,"55""",2018,100,HDMI,,HDMI TO HDMI,,60,,,
62,131,FIDS - Display 131,General Arrival Kanan T1B,1B,Arrival,172.17.28.99,China,HP,Thin Client t630,8CN91608GH,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Lubuntu,2012,70,,Korea,LG,SR75AA,MBVE05300015,,"75""",2018,100,HDMI,ü,VGA TO HDMI,,61,,,
63,132,FIDS - Display 132,General Arrival Kiri T1B,1B,Arrival,172.17.28.100,Taiwan,FUJITECH,Smart PC,Filled By O.E.M,"1 VGA, 1 DVI, 1 HDMI, 4 USB Type A, 1 LAN",250GB,4GB,Lubuntu,2012,70,,Korea,LG,75XF3C-B,807KCGWND407,,"75""",2018,100,VGA & DVI,ü,VGA TO HDMI,,62,,,
64,133,FIDS - Display 133,Smart Bagage 1 Kiri T1B,1B,Baggage,172.17.28.91,China,Asus,VC65,H7MSAC005135,"1 DVI,  1 VGA, 1 DP, 1 HDMI, 6 USB",8GB,4GB,Lubuntu,2017,95,,Korea Selatan,LG,43SM5KE-B,111INVM5G263,,"43""",2023,125,"3 HDMI, 2 DP, 1 DVI",,HDMI TO HDMI,Garansi 05-07-2026,63,,,
65,134,FIDS - Display 134,Smart Bagage 1 Kanan T1B,1B,Baggage,172.17.28.92,China,Asus,VC65,H7MSAC005982,"1 DVI,  1 VGA, 1 DP, 1 HDMI, 6 USB",8GB,4GB,Lubuntu,2017,95,,Korea Selatan,Samsung,UA40J5200DK,04ET3NAJ800209W,,"40""",2020,110,HDMI,,HDMI TO HDMI,,64,,,
66,135,FIDS - Display 135,Smart Bagage 2 Kiri T1B,1B,Baggage,172.17.28.93,China,Asus,VC65,H7MSAC005956,"1 DVI,  1 VGA, 1 DP, 1 HDMI, 6 USB",8GB,4GB,Lubuntu,2017,95,,Korea Selatan,LG,43LT340C0TB,002INQC39468,,"43""",2020,110,HDMI,,HDMI TO HDMI,,65,,,
67,136,FIDS - Display 136,Smart Bagage 2 Kanan T1B,1B,Baggage,172.17.28.94,China,Asus,VC65,H7MSAC005198,"1 DVI,  1 VGA, 1 DP, 1 HDMI, 6 USB",8GB,4GB,Lubuntu,2017,95,,Korea Selatan,LG,43LT340C0TB,001INHZ8Z537,,"43""",2020,110,HDMI,,HDMI TO HDMI,,66,,,
68,137,FIDS - Display 137,Smart Bagage 3 Kiri T1B,1B,Baggage,172.17.28.95,China,Asus,VC65,H7MSAC005978,"1 DVI,  1 VGA, 1 DP, 1 HDMI, 6 USB",8GB,4GB,Lubuntu,2017,95,,Korea Selatan,LG,43SM5KE,203INFK1L715,,"43""",2020,110,HDMI,,HDMI TO HDMI,,67,,,
69,138,FIDS - Display 138,Smart Bagage 3 Kanan T1B,1B,Baggage,172.17.28.96,China,Asus,VC65,H7MSAC005177,"1 DVI,  1 VGA, 1 DP, 1 HDMI, 6 USB",8GB,4GB,Lubuntu,2017,95,,Korea Selatan,LG,43SM5KE,203INZY1L725,,"43""",2020,110,HDMI,,HDMI TO HDMI,,68,,,
70,139,FIDS - Display 139,Smart Bagage 4 T1B,1B,Baggage,172.17.28.97,China,INTELNUC,NUC7i3BNH,G6BN82100GW0,"1 HDMI, 1 VGA",152GB,4GB,Lubuntu,2017,95,,Korea Selatan,LG,43LT340C0TB,001INZY4G581,,"43""",2020,110,HDMI,,HDMI TO HDMI,,69,,,
71,140,FIDS - Display 140,Smart Bagage 5 T1B,1B,Baggage,172.17.28.98,China,Asus,VC65,H7MSAC005193,"1 DVI,  1 VGA, 1 DP, 1 HDMI, 6 USB",8GB,4GB,Lubuntu,2017,95,,Korea Selatan,LG,43LT340C0TB,002INRU39462,,"43""",2020,110,HDMI,,HDMI TO HDMI,,70,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,FIDS - Display 139,General Departure Kiri T1C ,1C,Departure,172.17.52.200,China,Asus,NUC14MNK-B2,T7ARAC00C353E9P,,,,Win 11,2024,90,,Korea Selatan,LG,75UH5N-M,507INPT4E152,,"75""",2025,,HDMI,,,,,,,
,2,FIDS - Display 140,General Departure Tengah T1C ,1C,Departure,172.17.52.207,China,Asus,NUC14MNK-B2,T7ARAC00C388VM7,,,,Win 11,2024,90,,Korea Selatan,LG,75UH5N-M,507INCN4E155,,"75""",2025,,HDMI,,,,,,,
,3,FIDS - Display 141,General Departure Kanan T1C ,1C,Departure,172.17.52.206,China,Asus,NUC14MNK-B2,T7ARAC00C330BX9,,,,Win 11,2024,90,,Korea Selatan,LG,65UH5N-M,503INSE6Y134,,"75""",2025,,HDMI,,,,,,,
,4,FIDS - Display 142,General Checkin Kiri T1C,1C,Checkin,172.17.52.203  ,China,Asus,NUC14MNK-B2,T5ARAC0152005WJ,,,,Win 11,2024,90,,Korea Selatan,LG,65UH5N-MP,503INUB6Y142,,"65""",2025,,HDMI,,,,,,,
,5,FIDS - Display 143,General Checkin Kanan T1C,1C,Checkin,172.17.52.204  ,China,Asus,NUC14MNK-B2,T5ARAC015242X96,,,,Win 11,2024,90,,Korea Selatan,LG,65UH5N-MP,503INLV6Y136,,"65""",2025,,HDMI,,,,,,,
,6,FIDS - Display 144,Checkin Counter 1 T1C,1C,Checkin,172.17.52.173 ,China,Asus,NUC14MNK-B2,T7ARAC00C317SFD,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,408INLV66240,,"43""",2025,,HDMI,,,,,,,
,7,FIDS - Display 145,Checkin Counter 2 T1C,1C,Checkin,172.17.52.174,China,Asus,NUC14MNK-B2,T7ARAC00C3246TH,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,401INCNAM499 ,,"43""",2025,,HDMI,,,,,,,
,8,FIDS - Display 146,Checkin Counter 3 T1C,1C,Checkin,172.17.52.175,China,Asus,NUC14MNK-B2,T4ARAC009031F5F,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INYD6H842 ,,"43""",2025,,HDMI,,,,,,,
,9,FIDS - Display 147,Checkin Counter 4 T1C,1C,Checkin,172.17.52.176,China,Asus,NUC14MNK-B2,T4ARAC009028R8X,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,408INRC66254 ,,"43""",2025,,HDMI,,,,,,,
,10,FIDS - Display 148,Checkin Counter 5 T1C,1C,Checkin,172.17.52.177,China,Asus,NUC14MNK-B2,T4ARAC00C309AVF,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INXJ6H834 ,,"43""",2025,,HDMI,,,,,,,
,11,FIDS - Display 149,Checkin Counter 6 T1C,1C,Checkin,172.17.52.178,China,Asus,NUC14MNK-B2,T4ARAC0089872NM,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INNG6H831 ,,"43""",2025,,HDMI,,,,,,,
,12,FIDS - Display 150,Checkin Counter 7 T1C,1C,Checkin,172.17.52.179,China,Asus,NUC14MNK-B2,T4ARAC009024X2M,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,408INGQ66287,,"43""",2025,,HDMI,,,,,,,
,13,FIDS - Display 151,Checkin Counter 8 T1C,1C,Checkin,172.17.52.180,China,Asus,NUC14MNK-B2,T4ARAC0089986KM,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,406INZYAM501 ,,"43""",2025,,HDMI,,,,,,,
,14,FIDS - Display 152,Checkin Counter 9 T1C,1C,Checkin,172.17.52.181,China,Asus,NUC14MNK-B2,T4ARAC009008LYV,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,310INAR0T360 ,,"43""",2025,,HDMI,,,,,,,
,15,FIDS - Display 153,Checkin Counter 10 T1C,1C,Checkin,172.17.52.182,China,Asus,NUC14MNK-B2,T4ARAC00895645D,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INGQ6H847 ,,"43""",2025,,HDMI,,,,,,,
,16,FIDS - Display 154,Checkin Counter 11 T1C,1C,Checkin,172.17.52.183,China,Asus,NUC14MNK-B2,T4ARAC009061GRE,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INUB6H830 ,,"43""",2025,,HDMI,,,,,,,
,17,FIDS - Display 155,Checkin Counter 12 T1C,1C,Checkin,172.17.52.184,China,Asus,NUC14MNK-B2,T4ARAC008991CM7,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INVM6H815 ,,"43""",2025,,HDMI,,,,,,,
,18,FIDS - Display 156,Checkin Counter 13 T1C,1C,Checkin,172.17.52.124,China,Asus,NUC14MNK-B2,T4ARAC009005SSA,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,310INBS0T413,,"43""",2025,,HDMI,,,,,,,
,19,FIDS - Display 157,Checkin Counter 14 T1C,1C,Checkin,172.17.52.123,China,Asus,NUC14MNK-B2,T4ARAC008999FWW,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,406INEWAM484 ,,"43""",2025,,HDMI,,,,,,,
,20,FIDS - Display 158,Checkin Counter 15 T1C,1C,Checkin,172.17.52.122,China,Asus,NUC14MNK-B2,T4ARAC0089396KM,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,406INGQAM503 ,,"43""",2025,,HDMI,,,,,,,
,21,FIDS - Display 159,Checkin Counter 16 T1C,1C,Checkin,172.17.52.121,China,Asus,NUC14MNK-B2,T4ARAC009018AKM,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INFK6H835 ,,"43""",2025,,HDMI,,,,,,,
,22,FIDS - Display 160,Checkin Counter 17 T1C,1C,Checkin,172.17.52.120,China,Asus,NUC14MNK-B2,T4ARAC008937G56,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INJL6H836 ,,"43""",2025,,HDMI,,,,,,,
,23,FIDS - Display 161,Checkin Counter 18 T1C,1C,Checkin,172.17.52.119,China,Asus,NUC14MNK-B2,T4ARAC008986WCH,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,408INTX66265 ,,"43""",2025,,HDMI,,,,,,,
,24,FIDS - Display 162,Checkin Counter 19 T1C,1C,Checkin,172.17.52.118,China,Asus,NUC14MNK-B2,T4ARAC009016M7X,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,408INVM66255 ,,"43""",2025,,HDMI,,,,,,,
,25,FIDS - Display 163,Checkin Counter 20 T1C,1C,Checkin,172.17.52.117,China,Asus,NUC14MNK-B2,T4ARAC008981XXH,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,310INGQ0T399 ,,"43""",2025,,HDMI,,,,,,,
,26,FIDS - Display 164,Checkin Counter 21 T1C,1C,Checkin,172.17.52.116,China,Asus,NUC14MNK-B2,T4ARAC009034XA3,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,310INDP0T378,,"43""",2025,,HDMI,,,,,,,
,27,FIDS - Display 165,Checkin Counter 22 T1C,1C,Checkin,172.17.52.115,China,Asus,NUC14MNK-B2,T4ARAC008940DXA,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,406INMFA507 ,,"43""",2025,,HDMI,,,,,,,
,28,FIDS - Display 166,Checkin Counter 23 T1C,1C,Checkin,172.17.52.114,China,Asus,NUC14MNK-B2,T5ARAC015175DUE,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,504INHZ6H817 ,,"43""",2025,,HDMI,,,,,,,
,29,FIDS - Display 167,Checkin Counter 24 T1C,1C,Checkin,172.17.52.113,China,Asus,NUC14MNK-B2,T5ARAC0151697U8,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,310INFK0T363 ,,"43""",2025,,HDMI,,,,,,,
,30,FIDS - Display 168,Checkin Counter 25 T1C,1C,Checkin,172.17.52.112,China,Asus,NUC14MNK-B2,T5ARAC0152163U6,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INEW6A852 ,,"43""",2025,,HDMI,,,,,,,
,31,FIDS - Display 169,Checkin Counter 26 T1C,1C,Checkin,172.17.52.111,China,Asus,NUC14MNK-B2,T5ARAC01561B6M,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INTX6849 ,,"43""",2025,,HDMI,,,,,,,
,32,FIDS - Display 170,Checkin Counter 27 T1C,1C,Checkin,172.17.52.110,China,Asus,NUC14MNK-B2,T5ARAC015181NEL,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INWA6H833 ,,"43""",2025,,HDMI,,,,,,,
,33,FIDS - Display 171,Checkin Counter 28 T1C,1C,Checkin,172.17.52.109,China,Asus,NUC14MNK-B2,T5ARAC015069YHP,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INTX6H825 ,,"43""",2025,,HDMI,,,,,,,
,34,FIDS - Display 172,Checkin Counter 29 T1C,1C,Checkin,172.17.52.108,China,Asus,NUC14MNK-B2,T5ARAC015178C89,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,408INRC66278 ,,"43""",2025,,HDMI,,,,,,,
,35,FIDS - Display 173,Checkin Counter 30 T1C,1C,Checkin,172.17.52.107,China,Asus,NUC14MNK-B2,T5ARAC015089FJH,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INMF6H851 ,,"43""",2025,,HDMI,,,,,,,
,36,FIDS - Display 174,Checkin Counter 31 T1C,1C,Checkin,172.17.52.106,China,Asus,NUC14MNK-B2,T5ARAC015097C4A,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INVM6H839 ,,"43""",2025,,HDMI,,,,,,,
,37,FIDS - Display 175,Checkin Counter 32 T1C,1C,Checkin,172.17.52.105,China,Asus,NUC14MNK-B2,T5ARAC015189BE5,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,406INYDAM498 ,,"43""",2025,,HDMI,,,,,,,
,38,FIDS - Display 176,Checkin Counter 33 T1C,1C,Checkin,172.17.52.104,China,Asus,NUC14MNK-B2,T5ARAC015069YHP,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,310INAR0T84 ,,"43""",2025,,HDMI,,,,,,,
