,CGEAR,NAMA PERALATAN,LOKASI,Terminal,Zona,IP Address,Mini PC,,,,,,,,,,,Monitor,,,,,,,,,,,,,,,
,,PUBLIC SERVICES & IT SYSTEM BSH,,,,,Buatan,Merk,Model,S/N,Support Port,Disk Capacity,Ram Capacity,OS,Tahun Pembuatan,Kondisi,Status Garansi,Buatan,Merk,Model,S/N,Support Port,Ukuran (Inch),Tahun Pembuatan,Kondisi,Port,Converter,Port 2,,,,,
,TERMINAL 1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,FIDS - Display 019,Checkin Counter 17 T1A,1A,Checkin,172.17.26.50,China,INTELNUC,NUC7i3BNH,G6BN82100HHE,HDMI,1 TB,2 GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCASKE440,,"43""",2018,100,HDMI,,HDMI,19,CYCRONE,MPC X3700,2017,2
,20,FIDS - Display 020,Checkin Counter 18 T1A,1A,Checkin,172.17.26.51,China,INTELNUC,NUC7i3BNH,G6BN82100H1Z,HDMI,1 TB,2 GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCYQKE402,,"43""",2018,100,HDMI,,HDMI,20,DELL,"wyse, N07D001",2017,0
,21,FIDS - Display 021,Checkin Counter 19 T1A,1A,Checkin,172.17.26.52,China,INTELNUC,NUC7i3BNH,G6BN82100H43,HDMI,1 TB,2 GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCMRKE435,,"43""",2018,100,HDMI,,HDMI,21,,Total Perangakat,,69
,23,FIDS - Display 023,Checkin Counter 21 T1A,1A,Checkin,172.17.26.54,China,INTELNUC,NUC7i3BNH,G6BN82100G7X,HDMI,1 TB,2 GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,803KCEAP0332,,"43""",2018,100,HDMI,,HDMI,23,,,,
,24,FIDS - Display 024,Checkin Counter 22 T1A,1A,Checkin,172.17.26.55,China,INTELNUC,NUC7i3BNH,G6BN82100GX6,HDMI,1 TB,2 GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCVUKE447,,"43""",2018,100,HDMI,,HDMI,24,,,,
,25,FIDS - Display 025,Checkin Counter 23 T1A,1A,Checkin,172.17.26.56,China,INTELNUC,NUC7i3BNH,G6BN82100GXF,HDMI,1 TB,2 GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCKJKE413,,"43""",2018,100,HDMI,,HDMI,25,,,,
,26,FIDS - Display 026,Checkin Counter 24 T1A,1A,Checkin,172.17.26.57,China,INTELNUC,NUC7i3BNH,G6BN82100H4W,HDMI,1 TB,2 GB,Lubuntu,2018,100,,Korea,LG,43SM5KD-BH,806KCBDKE397,,"43""",2018,100,HDMI,,HDMI,26,,,,
,28,FIDS - Display 028,General Checkin Kiri T1A ,1A,Checkin,172.17.26.32,China,CGEAR,D945GSEJT,Filled By O.E.M,"VGA, DVI",500 GB,1 GB,Lubuntu,2012,70,,Korea,LG,65UH5C-BF,805KCBDKY213,,65,2018,100,VGA& DVI,,DVI,28,,,,
,29,FIDS - Display 029,General Checkin Kanan T1A,1A,Checkin,172.17.26.33,China,CGEAR,D945GSEJT,Filled By O.E.M,"VGA, DVI",500 GB,2 GB,Lubuntu,2012,70,,Korea,LG,65UH5C-BF,805KCJZKY212,,65,2018,100,VGA& DVI,,DVI,29,,,,
,32,FIDS - Display 032,Rest Area Kiri T1A,1A,Boarding,172.17.26.61,China,INTELNUC,NUC7i3BNH,G6BN82100J51,"4 USB, 1 LAN, 1 HDMI",1 TB,4GB,Lubuntu,2018,100,,Korea,LG,65UH5C-BF,805KCRNKY190,,"65""",2018,100,,,HDMI,32,,,,
